Data;Quantidade (Emissor);Quantidade (Parte Obrigada);Quantidade (Parte NŃo Obrigada) InstituińŃo Financeira;Quantidade (Parte NŃo Obrigada) Cliente;Quantidade (Parte NŃo Obrigada Total);TotalizańŃo
02/01/2026;13.899.748;5.539.365;2.360;105.974;108.334;19.547.447;
05/01/2026;13.955.943;5.493.418;2.360;159.266;161.626;19.610.987;
06/01/2026;14.041.137;5.632.514;360;159.266;159.626;19.833.277;
07/01/2026;14.035.531;5.069.646;2.406;159.266;161.672;19.266.849;
08/01/2026;14.137.034;5.186.431;5.356;159.266;164.622;19.488.087;
09/01/2026;14.237.385;5.324.914;2.980;159.266;162.246;19.724.545;
12/01/2026;14.367.783;5.403.072;80;130.791;130.871;19.901.726;
13/01/2026;14.434.868;5.045.497;3.005;130.791;133.796;19.614.161;
14/01/2026;14.532.165;4.584.510;734;130.267;131.001;19.247.676;
15/01/2026;14.534.586;4.683.393;1.481;130.267;131.748;19.349.727;
16/01/2026;14.526.749;4.900.227;9.200;120.742;129.942;19.556.918;
19/01/2026;15.300.375;4.978.629;200;120.742;120.942;20.399.946;
20/01/2026;14.947.619;5.381.522;10.616;120.742;131.358;20.460.499;
21/01/2026;14.920.245;5.551.829;8;140.742;140.750;20.612.824;
22/01/2026;15.053.803;5.695.748;282;140.742;141.024;20.890.575;
23/01/2026;14.937.076;5.895.580;18.782;140.742;159.524;20.992.180;
26/01/2026;15.026.042;5.904.997;282;140.742;141.024;21.072.063;
27/01/2026;15.036.843;6.039.214;1.907;140.742;142.649;21.218.706;
28/01/2026;15.032.851;5.825.329;1.077;140.742;141.819;20.999.999;
29/01/2026;15.106.782;5.902.173;1.312;140.742;142.054;21.151.009;
30/01/2026;15.048.673;6.019.162;12;140.742;140.754;21.208.589;
02/02/2026;15.184.837;6.133.335;5.000;140.742;145.742;21.463.914;
03/02/2026;15.211.710;6.249.263;6.000;140.742;146.742;21.607.715;
04/02/2026;15.149.132;6.415.465;66;140.742;140.808;21.705.405;
05/02/2026;14.652.695;6.896.015;10.456;140.742;151.198;21.699.908;
06/02/2026;14.460.591;7.211.161;5.941;140.742;146.683;21.818.435;
09/02/2026;14.424.445;7.478.361;27.194;115.264;142.458;22.045.264;
10/02/2026;13.832.867;8.030.961;60.292;115.264;175.556;22.039.384;
11/02/2026;13.738.950;7.376.239;77.368;115.264;192.632;21.307.821;
12/02/2026;13.682.978;6.746.621;127.368;115.264;242.632;20.672.231;
13/02/2026;13.715.103;6.753.436;234.813;115.264;350.077;20.818.616;
18/02/2026;13.952.712;6.841.290;260.425;115.264;375.689;21.169.691;
19/02/2026;14.322.465;6.943.397;264.425;115.264;379.689;21.645.551;
20/02/2026;14.417.130;7.136.778;270.574;115.264;385.838;21.939.746;
23/02/2026;14.528.083;7.232.006;360.319;115.264;475.583;22.235.672;
24/02/2026;14.544.552;7.421.182;404.900;107.255;512.155;22.477.889;
25/02/2026;14.533.824;7.487.602;400.701;107.255;507.956;22.529.382;
26/02/2026;14.454.528;7.604.440;415.534;107.255;522.789;22.581.757;
27/02/2026;14.494.911;7.739.862;397.621;107.255;504.876;22.739.649;
02/03/2026;14.586.022;7.889.827;398.123;107.456;505.579;22.981.428;
03/03/2026;14.617.681;7.977.824;404.408;107.456;511.864;23.107.369;
04/03/2026;14.452.630;8.195.296;404.517;107.456;511.973;23.159.899;
05/03/2026;14.417.412;8.334.167;397.703;107.456;505.159;23.256.738;
06/03/2026;14.388.809;8.445.986;397.621;107.456;505.077;23.339.872;
09/03/2026;14.463.821;8.481.911;397.703;107.456;505.159;23.450.891;
10/03/2026;14.351.320;8.708.277;398.876;106.383;505.259;23.564.856;
11/03/2026;14.342.474;8.829.838;398.251;106.383;504.634;23.676.946;
12/03/2026;14.255.062;8.956.723;405.494;106.383;511.877;23.723.662;
13/03/2026;14.167.895;9.146.684;398.111;106.383;504.494;23.819.073;
16/03/2026;14.225.456;9.254.338;411.411;106.383;517.794;23.997.588;
17/03/2026;14.220.499;9.418.590;398.822;106.383;505.205;24.144.294;
18/03/2026;14.407.030;9.668.179;405.687;106.383;512.070;24.587.279;
19/03/2026;14.460.287;9.376.748;410.478;106.383;516.861;24.353.896;
20/03/2026;14.389.067;9.616.352;407.752;106.383;514.135;24.519.554;
23/03/2026;14.341.395;8.930.279;409.684;106.383;516.067;23.787.741;
24/03/2026;14.111.441;9.300.397;341.924;106.383;448.307;23.860.145;
25/03/2026;13.947.865;8.761.738;306.435;106.383;412.818;23.122.421;
26/03/2026;13.839.195;8.488.859;249.703;106.383;356.086;22.684.140;
27/03/2026;13.871.104;8.015.501;149.740;106.383;256.123;22.142.728;
30/03/2026;13.796.625;8.153.354;144.551;106.383;250.934;22.200.913;
31/03/2026;13.715.956;8.276.306;182;106.383;106.565;22.098.827;
01/04/2026;13.763.612;8.282.326;9.404;106.383;115.787;22.161.725;
02/04/2026;13.801.149;8.329.705;67;111.383;111.450;22.242.304;
06/04/2026;13.839.712;8.492.729;6.483;111.383;117.866;22.450.307;
07/04/2026;13.943.512;8.575.057;2.935;116.383;119.318;22.637.887;
08/04/2026;13.968.144;8.662.556;2.261;116.383;118.644;22.749.344;
09/04/2026;13.899.266;8.851.070;20.033;116.383;136.416;22.886.752;
10/04/2026;13.854.187;8.958.105;2.061;126.483;128.544;22.940.836;
13/04/2026;13.826.363;9.108.186;179;126.483;126.662;23.061.211;
14/04/2026;13.793.320;9.284.193;15;126.483;126.498;23.204.011;
15/04/2026;13.666.835;9.499.614;1.941;131.483;133.424;23.299.873;
16/04/2026;13.573.128;9.721.098;1.512;131.483;132.995;23.427.221;
17/04/2026;14.190.125;9.794.406;512;131.483;131.995;24.116.526;
20/04/2026;14.177.967;9.931.204;491;131.483;131.974;24.241.145;
22/04/2026;14.138.433;10.046.929;29;131.483;131.512;24.316.874;
23/04/2026;13.949.847;10.309.759;48.819;138.983;187.802;24.447.408;
24/04/2026;13.803.536;10.650.328;333;138.983;139.316;24.593.180;
27/04/2026;13.814.018;10.777.402;5.948;141.416;147.364;24.738.784;
28/04/2026;13.814.203;10.918.212;2.404;141.416;143.820;24.876.235;
29/04/2026;13.853.602;11.127.206;7.596;141.416;149.012;25.129.820;
30/04/2026;13.743.792;11.312.275;2.861;141.416;144.277;25.200.344;
04/05/2026;13.829.029;11.416.240;648;148.983;149.631;25.394.900;
05/05/2026;13.883.882;11.498.394;663;148.983;149.646;25.531.922;
06/05/2026;13.806.434;11.644.668;7.538;148.983;156.521;25.607.623;
07/05/2026;13.680.257;11.921.699;2.363;148.983;151.346;25.753.302;
08/05/2026;13.688.022;12.055.230;277;148.983;149.260;25.892.512;
